,Actual size,Exposure,Maintenance fees,Possession,Age of building,Outdoor space,Price/sqm,Locker,Heating type:,Parking type:,Property type:,Area:,Ensuite laundry:,Parking:,Corp #:,Size:,Show all,Bed,Bath,Parking,price,Broker,MLS Number,address,amenities,included_in_maintenance_fees
0,2536,W,"$2,071.29 ",90-12090,9 years old,Open Balcony,"$7,606 ",Owned,Heat Pump,Underground,Condo Townhouse,Mimico,Yes,3,TSCC-2274,232-255 sqm, details,2+1,3,3,"$1,795,000 ","BERKSHIRE HATHAWAY HOMESERVICES WEST REALTY, BROKERAGE",W5433281,TH7 - 2230 Lake Shore Blvd W,"Concierge, Gym, Indoor Pool, Media Room, Party Room, Visitor Parking, Meeting Room, Parking Garage","Heat, Water, Air Conditioning, Common Element, Parking, Building Insurance"
0,597,W,$437.08 ,Flexible,24 years old,None,"$9,273 ",None,Forced Air,Underground,Condo Apt,Woburn,Yes,Yes,MTCC-1143,56-65 sqm, details,1,1,NA,"$510,000 ","HOMELIFE/MIRACLE REALTY LTD, BROKERAGE",E5418375,223 - 68 Corporate Dr,"Concierge, Gym, Indoor Pool, Media Room, Tennis Court, Visitor Parking, Public Transit, Parking Garage","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,465,N,$353.00 ,2022-01-20 0:00,4 years old,Open Balcony,"$11,605 ",Owned,Forced Air,Underground,Condo Apt,Yorkdale | Glen Park,Yes,Yes,TSCC-2581,0-46 sqm, details,1,1,1,"$499,000 ","RIGHT AT HOME REALTY INC., BROKERAGE",W5433379,2103 - 830 Lawrence Ave W,"Gym, Outdoor Pool, Security Guard, Visitor Parking, Concierge, Party Room, BBQ Permitted, Meeting Room","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,1000-1199,E,"$1,052.99 ",30 Days/Tba,34 years old,None,"$5,586 - $6,667",None,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,MTCC-733,93-111 sqm, details,1+1,2,NA,"$620,000 ","OULAHEN TEAM REALTY INC., BROKERAGE",C5414820,1705 - 10 Kenneth Ave,"Concierge, Gym, Indoor Pool, Party Room, Sauna, Visitor Parking, Public Transit, Parking Garage","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance, Parking"
0,610,NE,$425.62 ,Tba,5 years old,Open Balcony,"$10,702 ",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,TSCC-2544,56-65 sqm, details,1,1,1,"$610,000 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",W5418373,2708 - 36 Park Lawn Rd,"Concierge, Guest Suites, Gym, Party Room, Rooftop Deck, Visitor Parking, BBQ Permitted, FibreStream Internet","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,643,W,$621.06 ,Immediate/Tba,7 years old,Open Balcony,"$11,750 ",Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,Yes,TSCC-2406,56-65 sqm, details,1+1,1,1,"$705,000 ","HOMELIFE NEW WORLD REALTY INC., BROKERAGE",C5433388,1213 - 170 Fort York Blvd,"Concierge, Guest Suites, Gym, Party Room, Sauna, Visitor Parking, Public Transit, Bike Storage","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,644,N,$465.08 ,Immediate,0 years old,Open Balcony,"$10,000 ",None,Forced Air,Underground,Condo Apt,Yonge-Eglinton,Yes,No,TSCC-2851,56-65 sqm, details,2,1,NA,"$599,999 ","SOTHEBY`S INTERNATIONAL REALTY CANADA, BROKERAGE",C5416499,401 - 33 Helendale Ave,"Bike Storage, Concierge, Games Room, Gym, Party Room, Rooftop Deck, Public Transit, Visitor Parking","Heat, Water, Common Element, Building Insurance"
0,3250-3499,NS,"$3,246.00 ",60 Days/Tba,-,Terrace,"$21,462 - $23,096",Owned,Forced Air,Underground,Condo Apt,Rosedale-Moore Park,Yes,3,TSCC-1614,302-325 sqm, details,3,4,3,"$6,975,000 ","ROYAL LEPAGE/J & D DIVISION, BROKERAGE",C5419364,PH1201 - 25 Scrivener Sq,"BBQ Permitted, Concierge, Guest Suites, Gym, Party Room, Visitor Parking","Heat, Water"
0,442,S,$272.26 ,Immediately,3 years old,Open Balcony,"$13,317 ",None,Forced Air,Underground,Condo Apt,Moss Park,Yes,No,TSCC-2694,0-46 sqm, details,1,1,NA,"$546,000 ","ROYAL LEPAGE NEW CONCEPT, BROKERAGE",C5418319,607 - 181 Dundas St E,"Concierge, Gym, Games Room, Guest Suites, Media Room, Beanfield Fibre Available, Outdoor Patio, Parking Garage","Heat, Common Element, Building Insurance, Air Conditioning"
0,600-699,N,$471.32 ,Immediate,0 years old,Open Balcony,"$11,154 - $12,946",Owned,Forced Air,Underground,Condo Apt,Mount Pleasant West,Yes,Yes,TSCC-2854,56-65 sqm, details,1+1,2,NA,"$725,000 ","THE CONDO STORE REALTY INC., BROKERAGE",C5418389,2510 - 2221 Yonge St,"BBQ Permitted, Gym, Indoor Pool, Rec Room, Rooftop Deck, Security Guard, Concierge, Public Transit","Air Conditioning, Common Element, Heat, Building Insurance, Water"
